"","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalArea","IsRemodeled","IsRemodeledRecently","NewHouse","HouseAge","LastSold","TimeRemodeledSold","HouseInsideSF","FenceCondB","GarageFinishCondB","FunctionalB","BsmtFinishB1","BsmtFinishB2","ExterQualB","ExterCondlB","BsmtQualB","BsmtCondB","BsmtExposureB","HeatingQCB","KitchenQualB","FireplaceQuB","GarageQualB","GarageCondB","PoolQCBad","FenceCondG","GarageFinishCondG","FunctionalG","BsmtFinishG1","BsmtFinishG2","ExterQualG","ExterCondlG","BsmtQualG","BsmtCondG","BsmtExposureG","HeatingQCG","KitchenQualG","FireplaceQuG","GarageQualG","GarageCondG","IsPoolQCG","RegShape","LandContourLvl","LandSlopeGtl","ElectricalBreaker"
"11","20","RL",70,11200,"Pave",NA,"Reg","Lvl","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,3,3,"CBlock",3,3,0,3,906,1,0,134,1040,"GasA",5,"Y","SBrkr",1040,0,0,1040,1,0,1,0,3,1,3,5,7,0,0,"Detchd",1965,1,1,384,3,3,1,0,0,0,0,0,0,NA,NA,NA,0,"2","2008","WD","Normal",11.7714361601217,15814,0,1,0,45,2,43,1040,NA,1,0,0,1,0,0,0,0,1,0,0,1,0,0,NA,NA,0,1,1,0,1,1,1,1,0,1,1,0,1,1,NA,1,1,1,1
"12","60","RL",85,11924,"Pave",NA,"IR1","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",286,6,3,"PConc",6,3,0,6,998,1,0,177,1175,"GasA",5,"Y","SBrkr",1182,1142,0,2324,1,0,3,0,4,1,6,11,7,2,4,"BuiltIn",2005,3,3,736,3,3,1,147,21,0,0,0,0,NA,NA,NA,0,"7","2006","New","Partial",12.7512996960135,20197,1,0,0,5,4,0,2324,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,1,1,1,0,1,1,1,1,0,1,1,1,1,1,NA,0,1,1,1
"13","20","RL",0,12968,"Pave",NA,"IR2","Lvl","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood","None",0,3,3,"CBlock",3,3,0,5,737,1,0,175,912,"GasA",3,"Y","SBrkr",912,0,0,912,1,0,1,0,2,1,3,4,7,0,0,"Detchd",1962,1,1,352,3,3,1,140,0,0,0,176,0,NA,NA,NA,0,"9","2008","WD","Normal",11.8775685785581,17284,0,1,0,48,2,46,912,NA,1,0,0,1,0,0,0,0,1,0,0,1,0,0,NA,NA,0,1,1,0,1,1,1,1,0,1,1,0,1,1,NA,0,1,1,1
"14","20","RL",91,10652,"Pave",NA,"IR1","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",306,4,3,"PConc",4,3,3,1,0,1,0,1494,1494,"GasA",5,"Y","SBrkr",1494,0,0,1494,0,0,2,0,3,1,4,7,7,1,4,"Attchd",2006,2,3,840,3,3,1,160,33,0,0,0,0,NA,NA,NA,0,"8","2007","New","Partial",12.5407575715773,18058,1,0,0,4,3,0,1494,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,1,1,0,0,1,1,1,1,1,1,1,1,1,1,NA,0,1,1,1
"15","20","RL",0,10920,"Pave",NA,"IR1","Lvl","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,3,3,"CBlock",3,3,0,4,733,1,0,520,1253,"GasA",3,"Y","SBrkr",1253,0,0,1253,1,0,1,1,2,1,3,5,7,1,2,"Attchd",1960,2,1,352,3,3,1,0,213,176,0,0,0,NA,2,NA,0,"5","2008","WD","Normal",11.9640010843304,16885,0,1,0,50,2,48,1253,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,NA,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,NA,0,1,1,1
"16","45","RM",51,6120,"Pave",NA,"Reg","Lvl","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"BrkTil",3,3,0,1,0,1,0,832,832,"GasA",5,"Y","FuseA",854,0,0,854,0,0,1,0,2,1,3,5,7,0,0,"Detchd",1991,1,2,576,3,3,1,48,112,0,0,0,0,NA,6,NA,0,"7","2007","WD","Normal",11.7905572015685,10279,1,1,0,81,3,6,854,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,NA,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,NA,1,1,1,0
"17","20","RL",0,11241,"Pave",NA,"IR1","Lvl","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,3,3,"CBlock",3,3,0,5,578,1,0,426,1004,"GasA",5,"Y","SBrkr",1004,0,0,1004,1,0,1,0,2,1,3,5,7,1,3,"Attchd",1970,3,2,480,3,3,1,0,0,0,0,0,0,NA,NA,"Shed",700,"3","2010","WD","Normal",11.9117015849276,15917,0,1,0,40,0,40,1004,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,1,1,1,0,1,1,1,1,0,1,1,1,1,1,NA,0,1,1,1
"18","90","RL",72,10791,"Pave",NA,"Reg","Lvl","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"Slab",0,0,0,0,0,0,0,0,0,"GasA",3,"Y","SBrkr",1296,0,0,1296,0,0,2,0,2,2,3,6,7,0,0,"CarPort",1967,1,2,516,3,3,1,0,0,0,0,0,0,NA,NA,"Shed",500,"10","2006","WD","Normal",11.4075649493124,13971,0,1,0,43,4,39,1296,NA,1,0,1,1,0,0,1,1,1,0,0,1,0,0,NA,NA,0,1,0,0,1,1,0,0,0,1,1,0,1,1,NA,1,1,1,1
"19","20","RL",66,13695,"Pave",NA,"Reg","Lvl","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",3,3,0,6,646,1,0,468,1114,"GasA",5,"Y","SBrkr",1114,0,0,1114,1,0,1,1,3,1,4,6,7,0,0,"Detchd",2004,1,2,576,3,3,1,0,102,0,0,0,0,NA,NA,NA,0,"6","2008","WD","Normal",11.9766594812024,18895,0,1,0,6,2,4,1114,NA,1,0,0,1,0,0,0,0,1,0,0,1,0,0,NA,NA,0,1,1,0,1,1,1,1,0,1,1,0,1,1,NA,1,1,1,1
"20","20","RL",70,7560,"Pave",NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1958,1965,"Hip","CompShg","BrkFace","Plywood","None",0,3,3,"CBlock",3,3,0,2,504,1,0,525,1029,"GasA",3,"Y","SBrkr",1339,0,0,1339,0,0,1,0,3,1,3,6,6,0,0,"Attchd",1958,1,1,294,3,3,1,0,0,0,0,0,0,NA,3,NA,0,"5","2009","COD","Abnorml",11.8422292121128,12660,1,1,0,52,1,44,1339,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,NA,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,NA,1,1,1,1
"21","60","RL",101,14215,"Pave",NA,"IR1","Lvl","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,4,3,"PConc",6,3,3,1,0,1,0,1158,1158,"GasA",5,"Y","SBrkr",1158,1218,0,2376,0,0,3,1,4,1,4,9,7,1,4,"BuiltIn",2005,2,3,853,3,3,1,240,154,0,0,0,0,NA,NA,NA,0,"11","2006","New","Partial",12.6925031124614,23011,1,0,0,5,4,0,2376,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,1,1,0,0,1,1,1,1,1,1,1,1,1,1,NA,0,1,1,1
"22","45","RM",57,7449,"Pave","Grvl","Reg","Bnk","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"PConc",3,3,0,1,0,1,0,637,637,"GasA",5,"Y","FuseF",1108,0,0,1108,0,0,1,0,3,1,4,6,7,1,4,"Attchd",1930,1,1,280,3,3,0,0,0,205,0,0,0,NA,6,NA,0,"6","2007","WD","Normal",11.8451027773086,11481,1,1,0,80,3,57,1108,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,NA,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,NA,1,0,1,0
"23","20","RL",75,9742,"Pave",NA,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2002,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,4,3,"PConc",4,3,0,1,0,1,0,1777,1777,"GasA",5,"Y","SBrkr",1795,0,0,1795,0,0,2,0,3,1,4,7,7,1,4,"Attchd",2002,2,2,534,3,3,1,171,159,0,0,0,0,NA,NA,NA,0,"9","2008","WD","Normal",12.3458345879053,18106,0,1,0,8,2,6,1795,NA,0,0,1,1,0,0,0,0,1,0,0,0,0,0,NA,NA,1,1,0,0,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,1
"24","120","RM",44,4224,"Pave",NA,"Reg","Lvl","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,3,3,"PConc",4,3,0,6,840,1,0,200,1040,"GasA",3,"Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,3,6,7,1,3,"Attchd",1976,1,2,572,3,3,1,100,110,0,0,0,0,NA,NA,NA,0,"6","2007","WD","Normal",11.7745202026587,9250,0,1,0,34,3,31,1060,NA,1,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,0,1,1,0,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,1
"25","20","RL",0,8246,"Pave",NA,"IR1","Lvl","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,8,1968,2001,"Gable","CompShg","Plywood","Plywood","None",0,3,4,"CBlock",3,3,2,3,188,5,668,204,1060,"GasA",5,"Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,4,6,7,1,3,"Attchd",1968,1,1,270,3,3,1,406,90,0,0,0,0,NA,3,NA,0,"5","2010","WD","Normal",11.9447078813958,13252,1,1,0,42,0,9,1060,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,0,1,1,1
"26","20","RL",110,14230,"Pave",NA,"Reg","Lvl","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",640,4,3,"PConc",4,3,0,1,0,1,0,1566,1566,"GasA",5,"Y","SBrkr",1600,0,0,1600,0,0,2,0,3,1,4,7,7,1,4,"Attchd",2007,2,3,890,3,3,1,0,56,0,0,0,0,NA,NA,NA,0,"7","2009","WD","Normal",12.4541039123522,22258,0,1,0,3,1,2,1600,NA,0,0,1,1,0,0,0,0,1,0,0,0,0,0,NA,NA,1,1,0,0,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,1
"27","20","RL",60,7200,"Pave",NA,"Reg","Lvl","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1951,2000,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"CBlock",3,3,2,4,234,3,486,180,900,"GasA",3,"Y","SBrkr",900,0,0,900,0,1,1,0,3,1,4,5,7,0,0,"Detchd",2005,1,2,576,3,3,1,222,32,0,0,0,0,NA,NA,NA,0,"5","2010","WD","Normal",11.8115474774603,11690,1,1,0,59,0,10,900,NA,1,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,0,1,1,1,1,1,1,1,0,1,1,0,1,1,NA,1,1,1,1
"28","20","RL",98,11478,"Pave",NA,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",200,4,3,"PConc",6,3,0,6,1218,1,0,486,1704,"GasA",5,"Y","SBrkr",1704,0,0,1704,1,0,2,0,3,1,4,7,7,1,4,"Attchd",2008,2,3,772,3,3,1,0,50,0,0,0,0,NA,NA,NA,0,"5","2010","WD","Normal",12.6313403809345,19414,1,1,0,3,0,2,1704,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,1,1,1,0,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,1
"29","20","RL",47,16321,"Pave",NA,"IR1","Lvl","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1957,1997,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"CBlock",3,3,6,4,1277,1,0,207,1484,"GasA",3,"Y","SBrkr",1600,0,0,1600,1,0,1,0,2,1,3,6,7,2,4,"Attchd",1957,2,1,319,3,3,1,288,258,0,0,0,0,NA,NA,NA,0,"12","2006","WD","Normal",12.2428866186529,23401,1,1,0,53,4,9,1600,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,0,1,1,1
"30","30","RM",60,6324,"Pave",NA,"IR1","Lvl","Inside","Gtl","BrkSide","Feedr","RRNn","1Fam","1Story",4,6,1927,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"BrkTil",3,3,0,1,0,1,0,520,520,"GasA",2,"N","SBrkr",520,0,0,520,0,0,1,0,1,1,2,4,7,0,0,"Detchd",1920,1,1,240,2,3,1,49,0,87,0,0,0,NA,NA,NA,0,"5","2008","WD","Normal",11.1345890242503,8840,1,1,0,83,2,58,520,NA,1,0,1,1,0,0,0,0,1,1,1,1,1,0,NA,NA,0,1,0,0,1,1,1,1,0,0,0,0,0,1,NA,0,1,1,1
"31","70","C (all)",50,8500,"Pave","Pave","Reg","Lvl","Inside","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story",4,4,1920,1950,"Gambrel","CompShg","BrkFace","BrkFace","None",0,3,2,"BrkTil",3,3,0,1,0,1,0,649,649,"GasA",3,"N","SBrkr",649,668,0,1317,0,0,1,0,3,1,3,6,7,0,0,"Detchd",1920,1,1,250,3,2,0,0,54,172,0,0,0,NA,3,NA,0,"7","2008","WD","Normal",10.5966347330961,12958,1,1,0,90,2,58,1317,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,NA,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,NA,1,1,1,1
"32","20","RL",0,8544,"Pave",NA,"IR1","Lvl","CulDSac","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1966,2006,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"CBlock",3,3,0,1,0,1,0,1228,1228,"GasA",4,"Y","SBrkr",1228,0,0,1228,0,0,1,1,3,1,4,6,7,0,0,"Attchd",1966,1,1,271,3,3,1,0,65,0,0,0,0,NA,3,NA,0,"6","2008","WD","Normal",11.9140478236443,13792,1,1,0,44,2,2,1228,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,NA,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,NA,0,1,1,1
"33","20","RL",85,11049,"Pave",NA,"Reg","Lvl","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",6,3,3,1,0,1,0,1234,1234,"GasA",5,"Y","SBrkr",1234,0,0,1234,0,0,2,0,3,1,4,7,7,0,0,"Attchd",2007,2,2,484,3,3,1,0,30,0,0,0,0,NA,NA,NA,0,"1","2008","WD","Normal",12.1001564199386,16584,0,1,0,3,2,1,1234,NA,0,0,1,1,0,0,0,0,0,0,0,1,0,0,NA,NA,1,1,0,0,1,1,1,1,1,1,1,0,1,1,NA,1,1,1,1
"34","20","RL",70,10552,"Pave",NA,"IR1","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","BrkFace","BrkFace","None",0,3,3,"CBlock",3,3,0,3,1018,1,0,380,1398,"GasA",4,"Y","SBrkr",1700,0,0,1700,0,1,1,1,4,1,4,6,7,1,4,"Attchd",1959,2,2,447,3,3,1,0,38,0,0,0,0,NA,NA,NA,0,"4","2010","WD","Normal",12.0167264737993,17303,0,1,0,51,0,51,1700,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,1,1,1,0,1,1,1,1,0,1,1,1,1,1,NA,0,1,1,1
"35","120","RL",60,7313,"Pave",NA,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",246,6,3,"PConc",6,3,0,6,1153,1,0,408,1561,"GasA",5,"Y","SBrkr",1561,0,0,1561,1,0,2,0,2,1,6,6,7,1,4,"Attchd",2005,3,2,556,3,3,1,203,47,0,0,0,0,NA,NA,NA,0,"8","2007","WD","Normal",12.5335762121686,14669,0,1,0,5,3,2,1561,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,1,1,1,0,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,1
"36","60","RL",108,13418,"Pave",NA,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",132,4,3,"PConc",6,3,3,1,0,1,0,1117,1117,"GasA",5,"Y","SBrkr",1132,1320,0,2452,0,0,3,1,4,1,4,9,7,1,4,"BuiltIn",2004,3,3,691,3,3,1,113,32,0,0,0,0,NA,NA,NA,0,"9","2006","WD","Normal",12.6410965558799,21632,1,1,0,6,4,1,2452,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,1,1,0,0,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1
